Controlador,Error_RMS_rad,Error_Max_rad,TiempoEstabilizacion_s,Torque_RMS_Nm,Torque_Max_Nm
PID no lineal,0.0303227534661419,0.195133742528909,1.89,9.32447272686347,18.6599190653003
PD precompensado,0.0304189770475323,0.195133742528909,0.85,9.96957714613634,20.4185732242806
Par calculado,0.0315988803384101,0.195133742528909,0.7,6.52117589948356,10.0304606467763
